职位,薪资,学历,工作经验,需要几人,工作地址,公司,公司类型,公司规模,公司行业,福利,职位描述,职位要求,职位链接
Python后端工程师,1-1.5万/月,['本科'],无要求,['招1人'],菲尼克斯路99号,南京四象新能源科技有限公司,民营公司,少于50人,新能源,五险一金||补充医疗保险||员工旅游||餐饮补贴||专业培训||出国机会||股票期权||弹性工作||定期体检,"负责公司数据相关后台服务开发、运维，为公司硬件产品的数据采集、呈现提供有力支撑。应聘者需要拥有一定的Web开发和数据库优化经验，成熟的代码撰写和管理风格，以及良好的沟通能力。能独立并高质量完成安排任务。善于独立思考并表达自身观点。
1、公司数据后台服务开发工作；
2、公司服务部署&运维工作；
3、参与新功能&项目的相关技术讨论；
4、撰写相关技术文档。
1、985/211大学计算机科学或工程专业，本科以上学历；","负责公司数据相关后台服务开发、运维，为公司硬件产品的数据采集、呈现提供有力支撑。应聘者需要拥有一定的Web开发和数据库优化经验，成熟的代码撰写和管理风格，以及良好的沟通能力。能独立并高质量完成安排任务。善于独立思考并表达自身观点。
1、公司数据后台服务开发工作；
2、公司服务部署&运维工作；
3、参与新功能&项目的相关技术讨论；
4、撰写相关技术文档。
1、985/211大学计算机科学或工程专业，本科以上学历；",https://jobs.51job.com/nanjing-jnq/105939029.html?s=01&t=0
Python工程师,6-8千/月,"['在校生/应届生', '大专']",无要求,['招5人'],南京,上海占域实业有限公司,合资,150-500人,"计算机软件,电子技术/半导体/集成电路",五险一金||员工旅游||绩效奖金||年终奖金||定期体检||出国机会,"岗位职责:
1.后端实现，保障稳定性、性能。包括需求分析分解、设计、开发;
2.与产品其他部分联动，使用规范的流程思维，定义接口设计并跟进完成;
3.处理服务端开发中的常见问题;","岗位职责:
1.后端实现，保障稳定性、性能。包括需求分析分解、设计、开发;
2.与产品其他部分联动，使用规范的流程思维，定义接口设计并跟进完成;
3.处理服务端开发中的常见问题;",https://jobs.51job.com/nanjing/118868782.html?s=01&t=0
数据挖掘分析师（python方向）,1-2万/月,"['在校生/应届生', '本科']",无要求,无要求,天安数码城,南京莱斯网信技术研究院,国企,150-500人,计算机软件,五险一金||年终奖金||定期体检||员工旅游||节日福利||零食下午茶||免费午餐||项目奖||销售奖||年底双薪,,,https://jobs.51job.com/nanjing-qhq/120719755.html?s=01&t=0
Python数据分析课程老师,1-1.5万/月,['硕士'],无要求,['招1人'],中山南路49号商贸世纪广场17楼B2B3,美英港新留学,创业公司,50-150人,"教育/培训/院校,学术/科研",五险一金||员工旅游||周末双休||定期体检||带薪年假||年终奖金||生日福利,"1.参与PBL(Problem-BasedLearning)教学方案设计，以数据分析项目为主轴，线上教授学生相关知识点，及指导学生进行项目操作；
2.进行数据分析项目的统筹规划，准备金融/市场营销/商业分析/传媒/教育等方向的数据分析项目，完成数据准备.场景设计.参考解答准备等环节；","1.参与PBL(Problem-BasedLearning)教学方案设计，以数据分析项目为主轴，线上教授学生相关知识点，及指导学生进行项目操作；
2.进行数据分析项目的统筹规划，准备金融/市场营销/商业分析/传媒/教育等方向的数据分析项目，完成数据准备.场景设计.参考解答准备等环节；",https://jobs.51job.com/nanjing-qhq/119153712.html?s=01&t=0
Python开发工程师,0.8-1万/月,"['在校生/应届生', '本科']",无要求,['招2人'],创研路266号麒麟人工智能产业园7栋9楼,南京控维通信科技有限公司,民营公司,少于50人,通信/电信/网络设备,五险一金||员工旅游||定期体检||通讯补贴||交通补贴||餐饮补贴||年终奖金,"岗位职责：
1、主要从事计算机和通信系统相关软件开发工作；
2、主要领域为后台服务软件开发；
3、负责部分软件模块/子系统的设计、开发、测试全过程；
4、相关技术文档编写。
","：
1、有一定软件开发经验，具有良好的编程习惯，能编写正确、健壮的代码；
2、能独立完成小规模软件（或模块）的设计、编码、测试的全过程；
3、熟悉Python编程语言，掌握基础数据结构和算法；
4、较强的英文技术文档阅读能力；
5、具有在新领域快速学习的能力。
有下列相关经验者优先考虑：",https://jobs.51job.com/nanjing-jnq/120702192.html?s=01&t=0
Python开发工程师（南京）,0.8-1万/月,['本科'],无要求,['招2人'],,深圳航天科创实业有限公司,国企,,航天/航空,,,,https://jobs.51job.com/nanjing/121597465.html?s=01&t=0
Python开发工程师,1-1.5万/月,['本科'],['1年经验'],['招2人'],白龙江东街22号艺数家工场,融奕数智科技（深圳）有限公司,外资（欧美）,少于50人,"计算机软件,金融/投资/证券",五险一金||交通补贴||餐饮补贴||通讯补贴||绩效奖金||年终奖金||股票期权||弹性工作||员工旅游||出国机会,,,https://jobs.51job.com/nanjing-jyq/105941551.html?s=01&t=0
驻场Python开发工程师,6-8千/月,['大专'],['1年经验'],['招5人'],南京市玄武区龙蟠路151号,南京慧立信息系统有限公司,民营公司,50-150人,"计算机服务(系统、数据服务、维修),计算机软件",五险一金||绩效奖金||年终奖金,,,https://jobs.51job.com/nanjing-xwq/120521541.html?s=01&t=0
Python开发工程师,6-8千/月,['本科'],['1年经验'],['招5人'],建邺区江东中路395号,赞同科技股份有限公司,民营公司,1000-5000人,"计算机软件,计算机服务(系统、数据服务、维修)",五险一金||补充公积金||餐饮补贴||专业培训||定期体检,"【岗位职责】
1、服从项目经理分配并负责银行软件项目开发；
2、能与项目组成员、业务测试人员进行有效沟通；
【","】
1、本科以上学历，计算机及相关专业毕业；",https://jobs.51job.com/nanjing/121122429.html?s=01&t=0
Python高级开发工程师,1.5-2万/月,无要求,无要求,['招5人'],玄武大道699号江苏软件园22号22幢,南京云思创智信息科技有限公司,民营公司,50-150人,计算机软件,五险一金||员工旅游||交通补贴||出国机会||绩效奖金||年终奖金||股票期权||弹性工作||周末双休||通讯补贴,"人工智能,股票激励,大牛团队,发展空间大
-精通Python语言，熟悉Django/Tornado/Flask等其中至少一种框架，并有2年以上开发经验；
-精通分布式、多线程、异步及高性能设计、开发及优化；
-熟练使用MySQL、Redis、MongoDB、RabbitMQ等第三方组件；
-熟悉Linux系统，具备编写shell脚本能力；
-熟悉Git, GitHub开发流程；
-熟悉大规模高并发访问的Web应用开发经验者优先；
-有自主学习能力，良好中美团队沟通能力；","人工智能,股票激励,大牛团队,发展空间大
-精通Python语言，熟悉Django/Tornado/Flask等其中至少一种框架，并有2年以上开发经验；
-精通分布式、多线程、异步及高性能设计、开发及优化；
-熟练使用MySQL、Redis、MongoDB、RabbitMQ等第三方组件；
-熟悉Linux系统，具备编写shell脚本能力；
-熟悉Git, GitHub开发流程；
-熟悉大规模高并发访问的Web应用开发经验者优先；
-有自主学习能力，良好中美团队沟通能力；",https://jobs.51job.com/nanjing-xwq/103410336.html?s=01&t=0
Python开发工程师,1-1.5万/月,['本科'],['3-4年经验'],无要求,软件大道云密城,深圳市网新新思软件有限公司,民营公司,1000-5000人,计算机服务(系统、数据服务、维修),五险一金||员工旅游||专业培训||年终奖金||定期体检,,,https://jobs.51job.com/nanjing-yhtq/121416843.html?s=01&t=0
python,0.7-1万/月,['本科'],无要求,['招2人'],江北新区研创园,江苏金恒信息科技股份有限公司,上市公司,1000-5000人,计算机服务(系统、数据服务、维修),,"""1.负责搭建机器学习算法开发平台和创新技术引用；
2.能够配合算法工程师进行模型的封装和部署；
3.参与机器学习平台的架构设计和平台功能开发，功能迭代；","""1.负责搭建机器学习算法开发平台和创新技术引用；
2.能够配合算法工程师进行模型的封装和部署；
3.参与机器学习平台的架构设计和平台功能开发，功能迭代；",https://jobs.51job.com/nanjing-pkq/120992508.html?s=01&t=0
Python开发工程师,1-1.5万/月,['大专'],['2年经验'],['招1人'],天印大道696号东山总部商务园A2座9楼,江苏康行信息技术有限公司,民营公司,50-150人,计算机服务(系统、数据服务、维修),五险一金||餐饮补贴||定期体检||年终奖金||周末双休,,"：

、
或者
基础扎实，热爱编程工作。

、能熟练使用
或者
进行软件开发。

、有两年以上程序开发工作经验，了解基本数据结构与算法基础。

、熟悉
或者
的基本操作。

、具有良好的软件开发规范习惯、团队合作精神，擅于沟通与学习能力的
善于学习，独立思考能力强。

、熟悉计算机图形学和计算机三维绘图原理，具备扎实的计算机图像处理基础知识优先。",https://jobs.51job.com/nanjing-jnq/121134869.html?s=01&t=0
Python开发工程师,1.3-3万/月,['本科'],['3-4年经验'],无要求,坂田岗头社区 雪岗北路133号 岗头发展大厦,中软国际科技服务有限公司,合资,10000人以上,"计算机软件,计算机服务(系统、数据服务、维修)",,,,https://jobs.51job.com/shenzhen-lgq/120510895.html?s=01&t=0
Python开发工程师,0.8-1万/月,['本科'],['2年经验'],['招5人'],江北新区研创园,南京云信达科技有限公司,民营公司,500-1000人,计算机服务(系统、数据服务、维修),,"""1、Python后端高级研发工程师
2、团队协作好，有管理团队的经验更佳","""1、Python后端高级研发工程师
2、团队协作好，有管理团队的经验更佳",https://jobs.51job.com/nanjing-pkq/120991765.html?s=01&t=0
Python Engineer,1-1.5万/月,['本科'],['2年经验'],无要求,鼓楼,毕马威中国 KPMG China,外资（欧美）,150-500人,专业服务(咨询、人力资源、财会),五险一金||补充医疗保险||专业培训||年终奖金||定期体检,"- Web back-end development and environment construction
- Interacting with Model Interface
- Development of Api Interface
- Front-end and back-end debugging
- Computer science ,mathematics or related majors, bachelor degree or above
- More than 2 years experiences in Python area
- Python 2.7 or 3.5 (or above)
- Web frameworks such as Django, Flask and Tornado
- ORM libraries such as SQLAlchemy
- Relational databases such as MySQL and SQLServer
- NoSQL database such as MongoDB
- RESTful API
- Familiar with Microservices and container technologies
- Familiar with the use of docker in Linux operating environment
- Software applications building including appropriate coding standards, unit tests
integration tests and deployment scripts
- Web后端开发与环境搭建
- 与AI模型接口交互
- Api接口开发
- 前端和后端调试
- 计算机科学、数学或相关专业，本科以上学历
- 在python领域有2年以上的经验
- 熟悉Python 2.7或3.5（或以上）
- 熟悉Web框架Django, Flask and Tornado
- 了解ORM框架SQLAlchemy","- Web back-end development and environment construction
- Interacting with Model Interface
- Development of Api Interface
- Front-end and back-end debugging
- Computer science ,mathematics or related majors, bachelor degree or above
- More than 2 years experiences in Python area
- Python 2.7 or 3.5 (or above)
- Web frameworks such as Django, Flask and Tornado
- ORM libraries such as SQLAlchemy
- Relational databases such as MySQL and SQLServer
- NoSQL database such as MongoDB
- RESTful API
- Familiar with Microservices and container technologies
- Familiar with the use of docker in Linux operating environment
- Software applications building including appropriate coding standards, unit tests
integration tests and deployment scripts
- Web后端开发与环境搭建
- 与AI模型接口交互
- Api接口开发
- 前端和后端调试
- 计算机科学、数学或相关专业，本科以上学历
- 在python领域有2年以上的经验
- 熟悉Python 2.7或3.5（或以上）
- 熟悉Web框架Django, Flask and Tornado
- 了解ORM框架SQLAlchemy",https://jobs.51job.com/nanjing/116328580.html?s=01&t=0
Python中级开发工程师,1.2-1.8万/月,['本科'],无要求,无要求,南京江北新区产业技术研创园江淼路88号腾飞大厦A座7-8层,网根（南京）网络中心有限公司,民营公司,50-150人,"互联网/电子商务,通信/电信/网络设备",五险一金||员工旅游||专业培训||绩效奖金||年终奖金||定期体检||人才公寓||节日福利||通讯补贴,,,https://jobs.51job.com/nanjing-pkq/118119059.html?s=01&t=0
Python开发工程师,0.9-1.6万/月,['大专'],['1年经验'],['招3人'],天隆寺,南京勤丰文化传媒有限公司,民营公司,少于50人,"计算机软件,影视/媒体/艺术/文化传播",,"1、分析业务需求，准确的将业务需求转化为技术需求；
2、设计技术方案和系统架构，重构已有不完善的系统；
3、编写系统核心代码，解决开发中的疑难问题；
4、将来承担重要系统模块的维护工作，保证系统服务的稳定可靠；","1、分析业务需求，准确的将业务需求转化为技术需求；
2、设计技术方案和系统架构，重构已有不完善的系统；
3、编写系统核心代码，解决开发中的疑难问题；
4、将来承担重要系统模块的维护工作，保证系统服务的稳定可靠；",https://jobs.51job.com/nanjing/115642983.html?s=01&t=0
P0035-高级PYTHON工程师,1.2-2.4万/月,['本科'],['3-4年经验'],['招5人'],北京市海淀区中关村大街59号人大文化大厦5层,中盈优创资讯科技有限公司,国企,500-1000人,"通信/电信运营、增值服务,计算机软件",五险一金||补充医疗保险||餐饮补贴||通讯补贴||定期体检||绩效奖金||生日福利||节日福利,"岗位职责：
1、负责后端服务功能模块的设计与开发
2、负责网络设备管理采集/控制协议的使用和扩展开发；
3、参与公司技术中台产品的规划、设计和开发；
4、参与新型网络技术的探索、研究和开发。
任职条件：
1、","：计算机相关专业大学本科或硕士学历，3年以上后端开发经验；
2、熟练使用python语言，熟悉flask使用框架、熟练使用协程等并发编程技术；",https://jobs.51job.com/beijing/121120539.html?s=01&t=0
Python开发工程师,1-2万/月,['本科'],['1年经验'],['招1人'],鼓楼区石头城路6号石榴财智中心,南京数坤信息科技有限公司,民营公司,50-150人,计算机软件,做五休二||带薪年假||节日福利||餐饮补贴||员工旅游||员工生日||法定假日||五险一金,"1.负责web系统的功能研发；
2.开发和维护现有系统框架以及新系统开发；
3.大数据处理和分析；
4.能够独立进行新项目开发工作优先考虑。
","：
1.本科以上学历，一年以上开发经验，有良好的编码规范，会分析问题快速定位bug，有优化程序性能的能力；
2.熟练掌握Python基本知识，熟悉django框架及其相关拓展功能；",https://jobs.51job.com/nanjing-glq/101726814.html?s=01&t=0
Python人工智能讲师培训师,4-8千/月,['本科'],['1年经验'],['招2人'],江苏省扬州市邗江区安桥路1号高新区规划馆A708室,南京词酷网络信息技术有限公司,民营公司,50-150人,"计算机软件,教育/培训/院校",五险一金||交通补贴||餐饮补贴||绩效奖金||年终奖金||专业培训||包食宿,,"：
讲师，PYTHON培训，普通话，英语好
工作职责：
1、负责Python人工智能+批改网针案例课程产品的设计，提供成熟的技术解决方案；
2、结合技术发展的发展变化，实时改进教学方法，完善教学体系；
3、负责相关项目师资的培训和考核；
4、负责人工智能Python+批改网应用项目、案例的研发与讲解；
5、 协助市场推广及招生工作；
6、公司安排的其他相关工作。
任职要求：
1、大专及以上学历计算机相关专业，一年以上爬虫或解析相关开发经验；
2、精通Python语言，熟悉网络编程，能基本使用其他一种或多种语言编程，如：JavaCCNPL；
3、熟悉关系型数据库和Mongdb；
4、对数据挖掘和机器学习算法方面有一定了解；
5、有互联网公司爬虫架构方面经验优先；
6、有分布式计算经验的优先；
7、具有英文基础水平，热爱教育事业，工作勤奋；
8、身体健康，有上进心，口齿伶俐，善于交流，具备团队协作能力。
【工作时间】
周一至周五 8：30--17：30 周末双休
【福利待遇】
五险一金  包午饭 包住宿 年终奖 带薪培训 周末双休 交通补助 员工活动 弹性工作 互联网公司 良好晋升空间
【我们能为你提供什么？】
一份具有行业竞争力的薪水！",https://jobs.51job.com/yangzhou/120372191.html?s=01&t=0
Python开发工程师,0.6-1.2万/月,['本科'],['2年经验'],无要求,南京市玄武区钟灵街50-1号紫金大厦3层4层,大汉软件股份有限公司,民营公司,500-1000人,"计算机软件,互联网/电子商务",绩效奖金||五险一金||定期体检||专业培训,,,https://jobs.51job.com/nanjing/116583462.html?s=01&t=0
Python开发工程师,1.5-2万/月,['本科'],['3-4年经验'],['招2人'],浦口高新区丽景路2号软件研发大厦（三星大厦）A座10楼,麦田春雪科贸（北京）有限公司,民营公司,50-150人,互联网/电子商务,弹性工作||五险一金||专业培训||绩效奖金,"岗位职责：
1. 负责基于Python的数据爬取、数据分析、数据处理、数据开发等工作；
2. 负责基于Python/Java机器学习模型封装、部署、上线，并负责测试和维护；
3. 参与数据挖掘和建模
",：,https://jobs.51job.com/nanjing-pkq/110909196.html?s=01&t=0
Python开发工程师,1-1.5万/月,无要求,无要求,无要求,浦口大道13号新城总部大厦B座21层,南京中孚信息技术有限公司,民营公司,150-500人,"计算机软件,计算机硬件",五险一金||定期体检||员工旅游||年终奖金||股票期权,,,https://jobs.51job.com/nanjing-pkq/109898154.html?s=01&t=0
Python工程师,1-1.5万/月,['本科'],['3-4年经验'],['招2人'],南京市鼓楼区汉口路22号南京大学图书馆423,江苏宝和数据股份有限公司,民营公司,50-150人,计算机软件,周末双休||五险一金||员工旅游||专业培训||年终奖金||弹性工作||定期体检,"1、参与公司产品的整体规划、功能设计、开发工作；
2、负责公司产品功能模块的升级迭代和维护；
3、负责公司数据挖掘、解析、关联、清洗工作。
要求：","1、参与公司产品的整体规划、功能设计、开发工作；
2、负责公司产品功能模块的升级迭代和维护；
3、负责公司数据挖掘、解析、关联、清洗工作。
要求：",https://jobs.51job.com/nanjing/86983849.html?s=01&t=0
Python高级开发工程师,0.8-1万/月,['大专'],['3-4年经验'],无要求,苏源大道10号,常州科睿达信息科技有限公司,民营公司,150-500人,"计算机软件,计算机服务(系统、数据服务、维修)",节假日福利||每年多次调薪||带薪年假||定期团建||弹性工作||十三薪,"Python开发人员
1. 熟悉 Linux 开发环境，熟练使用 Shell
2. 熟悉 高并发、高性能分布式系统
3. 熟悉 HTTP协议，熟悉 HTML，JavaScript，XPath","Python开发人员
1. 熟悉 Linux 开发环境，熟练使用 Shell
2. 熟悉 高并发、高性能分布式系统
3. 熟悉 HTTP协议，熟悉 HTML，JavaScript，XPath",https://jobs.51job.com/nanjing-jnq/121437086.html?s=01&t=0
Python开发工程师,15-30万/年,['本科'],['1年经验'],无要求,研创园团结路99号,博流智能科技（南京）有限公司,外资（非欧美）,50-150人,"电子技术/半导体/集成电路,计算机软件",五险一金||员工旅游||年终奖金||弹性工作||定期体检||每月员工活动||领导nice,"1. 负责AIoT-SDK的Python自动化单元测试、系统测试；
2. 负责音视频图像的自动化处理；
3. 负责构建自动化测试平台，实现AIoT-SDK的持续集成。
1. 具有本科及以上学历，计算机/电子工程/自动化等相关专业；
2. 具备良好的Python语言基础，具备两年以上的开发经验；","1. 负责AIoT-SDK的Python自动化单元测试、系统测试；
2. 负责音视频图像的自动化处理；
3. 负责构建自动化测试平台，实现AIoT-SDK的持续集成。
1. 具有本科及以上学历，计算机/电子工程/自动化等相关专业；
2. 具备良好的Python语言基础，具备两年以上的开发经验；",https://jobs.51job.com/nanjing/119768859.html?s=01&t=0
开发工程师(JAVA/Python）,1-1.5万/月,['本科'],['2年经验'],['招1人'],江宁区东吉大道1号江苏软件园吉智楼11号5-6楼,南京光辉互动网络科技股份有限公司,民营公司,150-500人,互联网/电子商务,五险一金||免费班车||员工旅游||年终奖金||绩效奖金||交通补贴||餐饮补贴,"1、熟悉java或python； 或者有其他语言经验（golang, c, c++), 具备良好的编程语言迁移能力
2、熟悉web编程，TCP/IP协议, 具备后端服务开发经验
3、熟悉关系型，非关系型数据库，具备主流数据库开发经验（如MySQL, PostgreSQL, MongoDB, Redis)
4、具有较强的逻辑分析能力，能进行有效沟通，高度的责任心与团队合作精神
加分项
5、了解使用过Docker，有容器技术相关应用经验
6、了解Hadoop、Spark、Flume、Flink等相关技术的基础架构，有大数据处理经验者优先
7、有ClickHouse相关经验者优先
8、了解常见工作流调度框架（如airflow, celery)
9、参与或贡献过开源项目","1、熟悉java或python； 或者有其他语言经验（golang, c, c++), 具备良好的编程语言迁移能力
2、熟悉web编程，TCP/IP协议, 具备后端服务开发经验
3、熟悉关系型，非关系型数据库，具备主流数据库开发经验（如MySQL, PostgreSQL, MongoDB, Redis)
4、具有较强的逻辑分析能力，能进行有效沟通，高度的责任心与团队合作精神
加分项
5、了解使用过Docker，有容器技术相关应用经验
6、了解Hadoop、Spark、Flume、Flink等相关技术的基础架构，有大数据处理经验者优先
7、有ClickHouse相关经验者优先
8、了解常见工作流调度框架（如airflow, celery)
9、参与或贡献过开源项目",https://jobs.51job.com/nanjing/120701615.html?s=01&t=0
Python开发工程师,1-1.8万/月,无要求,无要求,['招3人'],雨花台区安德门大街21号江苏金融科技大厦2楼,南京擎盾信息科技有限公司,民营公司,150-500人,"计算机服务(系统、数据服务、维修),计算机软件",五险一金||定期体检||弹性工作||年终奖金||绩效奖金,,,https://jobs.51job.com/nanjing-yhtq/87774190.html?s=01&t=0
python开发工程师,5-9千/月,['大专'],['1年经验'],['招1人'],雨花台区农花路42号绿地之窗D5,南京世赢乾网络科技有限公司,民营公司,50-150人,"网络游戏,计算机软件",绩效奖金||全勤奖||节日福利||交通补贴||餐饮补贴||加班补贴||通讯补贴||弹性工作,,,https://jobs.51job.com/nanjing/121673546.html?s=01&t=0
Python开发工程师,0.8-1.6万/月,['本科'],无要求,['招2人'],江苏省南京市雨花台区软件大道118号新华汇B2栋5楼,杭州三汇数字信息技术有限公司,民营公司,1000-5000人,"计算机软件,通信/电信/网络设备",五险一金||餐饮补贴||交通补贴||年终奖金||绩效奖金||定期体检||专业培训||带薪年假||节日福利||员工旅游,,,https://jobs.51job.com/nanjing-yhtq/115828247.html?s=01&t=0
Python高级开发工程师,1.5-1.8万/月,['本科'],['3-4年经验'],['招2人'],徐庄软件园研发一区1幢201室,陕西昶联数据科技有限公司,民营公司,50-150人,计算机软件,五险一金||专业培训||交通补贴||餐饮补贴||通讯补贴||年终奖金||股票期权||弹性工作||员工旅游||定期体检,"工作职责：
1.基于Python的NLP产品服务器端设计与开发；
2.产品服务器端持续优化；
3.按照项目计划，按时提交高质量的代码，完成开发任务；
4.积极参与工作相关技术的研究；
","：
1.计算机或相关专业本科或以上学历，3年以上相关工作经验，具备丰富的python实际项目开发经验
2.熟悉机器学习，有常见深度学习框架（如TensorFlow，PyTorch等）使用经验者优先；",https://jobs.51job.com/nanjing-xwq/121310892.html?s=01&t=0
Python开发工程师,1.2-1.8万/月,['大专'],['2年经验'],['招1人'],浦滨路科技创新总部大厦3-1号C座14楼,江苏中路工程技术研究院有限公司,民营公司,50-150人,"学术/科研,建筑/建材/工程",五险一金||补充医疗保险||交通补贴||餐饮补贴||通讯补贴||绩效奖金||年终奖金||股票期权||定期体检,"交通大数据的处理与分析，针对交通规划以及交通控制管理的应用模型研发。
岗位职责：
1、分析业务需求，准确的将业务需求转化为技术需求；","交通大数据的处理与分析，针对交通规划以及交通控制管理的应用模型研发。
岗位职责：
1、分析业务需求，准确的将业务需求转化为技术需求；",https://jobs.51job.com/nanjing-pkq/121492210.html?s=01&t=0
Python开发工程师,0.8-1.5万/月,['大专'],['1年经验'],['招3人'],江苏省南京市鼓楼区广州路5号君临国际大厦,南京宝正见企业管理有限公司,民营公司,150-500人,"计算机软件,互联网/电子商务",五险一金||补充医疗保险||员工旅游||专业培训||绩效奖金||年终奖金||出国机会||通讯补贴,"1、分析业务需求，准确的将业务需求转化为技术需求；
2、设计技术方案和系统架构，重构已有不完善的系统；
3、编写系统核心代码，解决开发中的疑难问题；
4、将来承担重要系统模块的维护工作，保证系统服务的稳定可靠；","1、分析业务需求，准确的将业务需求转化为技术需求；
2、设计技术方案和系统架构，重构已有不完善的系统；
3、编写系统核心代码，解决开发中的疑难问题；
4、将来承担重要系统模块的维护工作，保证系统服务的稳定可靠；",https://jobs.51job.com/nanjing/120965766.html?s=01&t=0
软件开发中级工程师（Python）,0.6-1.2万/月,['本科'],['3-4年经验'],['招5人'],建邺区嘉陵江东街18号新城科技园企业加速器6幢6层,福建新大陆软件工程有限公司,民营公司,500-1000人,"通信/电信运营、增值服务,计算机软件",五险一金||交通补贴||通讯补贴||专业培训||绩效奖金||年终奖金||定期体检||免费班车,,,https://jobs.51job.com/nanjing/112209988.html?s=01&t=0
Python高级开发工程师,0.9-1.6万/月,['本科'],['2年经验'],['招1人'],南京雨花台区凤集大道12-9号欧帝软件园,江苏欧帝电子科技有限公司,民营公司,500-1000人,电子技术/半导体/集成电路,五险一金||专业培训||餐饮补贴||通讯补贴||交通补贴||项目奖金||免费班车||弹性工作,,,https://jobs.51job.com/nanjing-yhtq/120328478.html?s=01&t=0
python开发工程师,0.8-1万/月,['大专'],['1年经验'],['招3人'],庐山路200号德基世贸C幢1003,南京披云信息科技有限公司,民营公司,少于50人,"计算机服务(系统、数据服务、维修),计算机软件",五险一金||员工旅游||餐饮补贴||专业培训||绩效奖金||年终奖金||定期体检||交通补贴,1、云计算平台后端服务的设计、研发和性能优化工作,"：
1、能够自我驱动，热爱技术，有强烈的上进心，善于探索和钻研
2、精通Go/shell/py，熟悉常用的设计模式，
3、编程基础扎实，熟悉常用算法和数据结构，了解常见分布式系统的原理
4、熟悉mysql数据库或者了解redis或mongodb等NoSQL系统
5、参与过云计算、云存储，Paas平台或者其他分布式开源项目者优先
员工福利：
周末双休，女票再也不用担心约会?辣！
即使是程序猿，也不用担心加班哦！因为，我们真的很少加班……",https://jobs.51job.com/nanjing-jyq/106908653.html?s=01&t=0
Python开发,0.8-1.5万/月,['大专'],['1年经验'],['招2人'],大周路88号，科创城c2栋1810,南京艮众信息科技有限公司,民营公司,50-150人,计算机软件,五险一金||年终奖金||绩效奖金||定期体检||员工旅游,,,https://jobs.51job.com/nanjing-yhtq/121191413.html?s=01&t=0
python爬虫实习生,200元/天,['硕士'],无要求,['招2人'],玄武区长江路99号长江贸易大厦1605-1606室,指南者教育,民营公司,50-150人,"教育/培训/院校,专业服务(咨询、人力资源、财会)",餐饮补贴||五险一金||员工旅游||定期体检||绩效奖金||年终奖金||出国机会||专业培训||周末双休||免费午餐,"指南者教育成立于2012年，是一家提供留学申请服务、英语培训、数据分析培训的在线教育公司。我们相信，互联网对教育行业的改造将会是彻底的。秉承着“互联网+教育”的运营思路，指南者教育致力于打造让更多用户满意的学习及服务产品。
指南者教育的文化是“务实、分享、进取、正直”。务实：凡事要以结果为导向；分享：在帮助别人变得更好的同时，自己变得更好；进取：保持好奇心，探索自己未来的多种可能，正直：追随内心，恪守每个岗位的底线。
在这里你可以得到每年10天以上的年假，符合国家规定的五险一金以及带薪病假；
在这里没有办公室政治，鲜有上下级概念，团队氛围融洽；
在这里公司为每一位员工提供完善的培训体系，广阔的发展平台和晋升空间。
一、 岗位职责：
1、协助进行各类爬虫项目，如淘宝，知乎，微博，美团，大众点评等网站数据爬取；
2、参与爬虫课程和项目设计，协助完成课程准备、场景设计、练习设置等环节；
二、",：,https://jobs.51job.com/nanjing/116898721.html?s=01&t=0
Python&C++开发工程师（NJ-IT-D001）,1-2万/月,['本科'],['2年经验'],无要求,Nan Jing,瞬联软件科技（北京）有限公司 CIeNET Technologies,外资（欧美）,1000-5000人,计算机软件,补充医疗保险||定期体检||七险一金||带薪年假||带薪病假,,,https://jobs.51job.com/nanjing/119618565.html?s=01&t=0
Python开发工程师,1.5-2万/月,['本科'],['3-4年经验'],['招5人'],孵鹰大厦A座309,南京云信达科技有限公司,民营公司,50-150人,"计算机软件,计算机服务(系统、数据服务、维修)",五险一金||员工旅游||专业培训||通讯补贴||餐饮补贴||绩效奖金||年终奖金||股票期权||定期体检,"1、Python后端高级研发工程师
2、团队协作好，有管理团队的经验更佳","1、Python后端高级研发工程师
2、团队协作好，有管理团队的经验更佳",https://jobs.51job.com/nanjing-pkq/100901761.html?s=01&t=0
Python开发工程师,1-1.5万/月,['本科'],['3-4年经验'],无要求,南京市麒麟门智汇路启迪城学研园2栋,南京创优科技有限责任公司,民营公司,50-150人,仪器仪表/工业自动化,五险一金||免费班车||员工旅游||交通补贴||通讯补贴||做五休二,,,https://jobs.51job.com/nanjing/121065613.html?s=01&t=0
