职位,薪资,学历,工作经验,需要几人,工作地址,公司,公司类型,公司规模,公司行业,福利,职位描述,职位要求,职位链接
Web前端开发工程师,1.5-3万/月,['大专'],['2年经验'],['招3人'],天丰大厦,广州向然网络科技有限公司,民营公司,50-150人,计算机软件,年终奖金||出国机会||包吃包住,"1、计算机及相关专业，2年以上相关工作经验，有过大型项目开发经验优先；
2、熟练使用HTML5+CSS3技术开发移动端Web应用，有过网站开发、手机站点开发、响应式开发项目经验；
3、熟悉Web前端常用技术，Ajax、Jquery、Bootstrap、JSONP等技术；
4、熟悉ES6语法，sass、less、stylus，对JavaScript的作用域、闭包、前端模块化、组件化等有深入理解；
5、熟练使用VUE等前端框架构建 SPA（单页面应用）后台系统；有过多个多人VUE项目（vue全家桶）开发经验；","1、计算机及相关专业，2年以上相关工作经验，有过大型项目开发经验优先；
2、熟练使用HTML5+CSS3技术开发移动端Web应用，有过网站开发、手机站点开发、响应式开发项目经验；
3、熟悉Web前端常用技术，Ajax、Jquery、Bootstrap、JSONP等技术；
4、熟悉ES6语法，sass、less、stylus，对JavaScript的作用域、闭包、前端模块化、组件化等有深入理解；
5、熟练使用VUE等前端框架构建 SPA（单页面应用）后台系统；有过多个多人VUE项目（vue全家桶）开发经验；",https://jobs.51job.com/nanjing-xwq/119569519.html?s=01&t=0
Infra系统工程师 (南京/杭州),1.5-3万/月,['本科'],['3-4年经验'],['招3人'],马群街道紫东路1号紫东科技园F2栋,无锡图灵视频科技有限公司,民营公司,50-150人,"计算机软件,计算机硬件",周末双休||弹性工作||五险一金||节日福利||带薪年假||股票期权||项目奖金,"● 参与项目的需求分析和逻辑设计，维护、部署和监管系统 ；
● 分析系统需求，设计系统架构，撰写系统架构相关文档；
● 提供稳定、快速、安全的系统架构设计，排查服务器故障。
● 计算机科学相关专业本科以上学历，专业基础知识扎实，逻辑思维能力强，英文读写能力强；
● 至少3年经验系统维护经验；
● 熟悉容器化技术，有Docker-Compose、Kubernetes或其他集群部署经验；
● 熟悉Prometheus、Grafana、ElasticSearch等日志、监控、告警等系统维护经验；
● 熟悉Ansible、Chef等运维工具；有Apache2、Nginx、Traefik等维护经验；
● 熟悉SQL语言，熟悉数据库事务处理，会使用MySQL、MongoDB、PostgreSQL、InfluxDB等数据库的一种或多种；
● 熟悉TCP/UDP、HTTP/HTTPS、WebSocket、MQTT等网络通信协议，熟悉RESTful API，熟悉数据交换格式XML/JSON；
● 熟悉防火墙、网关、路由器配置等
● 熟悉Linux/Unix系统与开发环境，会Shell编程。
● 熟悉至少一门网站开发框架，例如Go/Gin或者Python/Django/Flask
● 熟悉多进程、异步任务和多线程开发
● 有流媒体、摄像头、RTSP码流、Webrtc相关经验
● 有Rabbitmq、ActiveMQ、Kafka等消息队列处理经验
● IOT 模块集成与应用。
● 高薪职位
● 弹性工作
● 股票期权","● 参与项目的需求分析和逻辑设计，维护、部署和监管系统 ；
● 分析系统需求，设计系统架构，撰写系统架构相关文档；
● 提供稳定、快速、安全的系统架构设计，排查服务器故障。
● 计算机科学相关专业本科以上学历，专业基础知识扎实，逻辑思维能力强，英文读写能力强；
● 至少3年经验系统维护经验；
● 熟悉容器化技术，有Docker-Compose、Kubernetes或其他集群部署经验；
● 熟悉Prometheus、Grafana、ElasticSearch等日志、监控、告警等系统维护经验；
● 熟悉Ansible、Chef等运维工具；有Apache2、Nginx、Traefik等维护经验；
● 熟悉SQL语言，熟悉数据库事务处理，会使用MySQL、MongoDB、PostgreSQL、InfluxDB等数据库的一种或多种；
● 熟悉TCP/UDP、HTTP/HTTPS、WebSocket、MQTT等网络通信协议，熟悉RESTful API，熟悉数据交换格式XML/JSON；
● 熟悉防火墙、网关、路由器配置等
● 熟悉Linux/Unix系统与开发环境，会Shell编程。
● 熟悉至少一门网站开发框架，例如Go/Gin或者Python/Django/Flask
● 熟悉多进程、异步任务和多线程开发
● 有流媒体、摄像头、RTSP码流、Webrtc相关经验
● 有Rabbitmq、ActiveMQ、Kafka等消息队列处理经验
● IOT 模块集成与应用。
● 高薪职位
● 弹性工作
● 股票期权",https://jobs.51job.com/nanjing-qxq/121399488.html?s=01&t=0
生物成像技术员,,['硕士'],无要求,['招1人'],,南京景瑞康分子医药科技有限公司,民营公司,,制药/生物工程,,"职位描述：
1） 负责操作专用显微镜，采集图像
2） 使用专业软件分析图像并撰写科学实验报告
3） 负责其他科学实验的执行
4） 与项目科学家密切沟通，管理并汇报科研项目的进度","职位描述：
1） 负责操作专用显微镜，采集图像
2） 使用专业软件分析图像并撰写科学实验报告
3） 负责其他科学实验的执行
4） 与项目科学家密切沟通，管理并汇报科研项目的进度",https://jobs.51job.com/nanjing/120337566.html?s=01&t=0
数据仓库工程师,1-1.5万/月,['本科'],['3-4年经验'],无要求,上海市浦东新区来安路500号,深圳市长亮科技股份有限公司,上市公司,1000-5000人,"计算机软件,计算机服务(系统、数据服务、维修)",五险一金||通讯补贴||定期体检||带薪年假||专业培训||绩效奖金,,,https://jobs.51job.com/shanghai-pdxq/121544552.html?s=01&t=0
高光谱算法专家,1-3万/月,['博士'],['1年经验'],['招2人'],雨花区软件大道119号丰盛商汇1号楼3层,南京华苏科技有限公司,民营公司,1000-5000人,"通信/电信/网络设备,通信/电信运营、增值服务",五险一金||绩效奖金||年终奖金||通讯补贴||专业培训,"1.负责可见光、红外、多光谱、高光谱、SAR图像处理算法设计工作；
2.负责水质光谱分析相关算法研究，提高光谱检测分析的可靠性和准确性；
3.负责水质光谱误差分析算法研究，提高定性定量分析的准确性；
4.根据水质检测产品和业务需求，进行相关定量反演算法的研究和开发；
5.负责光谱分析相关领域的应用研究；
6. 参与光学相关产品的研发；
",：,https://jobs.51job.com/nanjing/118642044.html?s=01&t=0
软件测试工程师,1-2万/月,['本科'],['3-4年经验'],['招2人'],苏源大道19号九龙湖国际企业总部园A1-5F,瀚思安信（北京）软件技术有限公司,民营公司,150-500人,计算机软件,餐饮补贴||弹性工作||学习机会多||五险一金||员工旅游,"1、熟悉了解测试流程，在软件生命周期的各个阶段输出对应的文档（测试用例、测试计划、测试报告等）；
2、熟悉b/s架构下的安全管理平台功能和性能测试；
3、熟悉计算机硬件、操作系统、软件的工作原理，可以独立完成平台的安装部署；
4、了解大数据平台，可对大数据安管平台做手动及自动化部署；
5、有能力对大数据安全平台进行售后支持；
6、能够独立完成项目的测试工作。
1、本科及以上学历，三年以上测试经验；","1、熟悉了解测试流程，在软件生命周期的各个阶段输出对应的文档（测试用例、测试计划、测试报告等）；
2、熟悉b/s架构下的安全管理平台功能和性能测试；
3、熟悉计算机硬件、操作系统、软件的工作原理，可以独立完成平台的安装部署；
4、了解大数据平台，可对大数据安管平台做手动及自动化部署；
5、有能力对大数据安全平台进行售后支持；
6、能够独立完成项目的测试工作。
1、本科及以上学历，三年以上测试经验；",https://jobs.51job.com/nanjing-jnq/120328313.html?s=01&t=0
产品研发经理（高薪聘请）,1.5-2万/月,['本科'],['5-7年经验'],['招3人'],丰盛商汇8号楼310室,南京云帏科技有限公司,民营公司,50-150人,计算机软件,五险一金||交通补贴||餐饮补贴||通讯补贴||绩效奖金,,,https://jobs.51job.com/nanjing-yhtq/120160842.html?s=01&t=0
系统测试/实施支持工程师NJ,0.8-1.5万/月,['本科'],['1年经验'],['招2人'],江东中路230号华泰证券大厦3号楼4层,通联数据股份公司,民营公司,150-500人,金融/投资/证券,弹性工作||五险一金||补充医疗保险||专业培训||通讯补贴||餐饮补贴||交通补贴||绩效奖金||年终奖金||定期体检,"1、能够和开发人员一起高效地工作，负责公司产品测试
2、分析客户使用中需求和设计测试用例
3、验证产品中展现数据的正确性、在项目过程中优化数据质量测试方案
4、对客户使用中发现的问题进行分析和统计，及时发送测试报告，便于产品负责人了解产品质量情况
5、协助用户调试代码,并完善一些样例代码
6、负责与客户沟通协调，协助客户使用公司产品
任职条件：
1、本科及以上学历 ，计算机相关专业
2、熟练掌握Python语言","1、能够和开发人员一起高效地工作，负责公司产品测试
2、分析客户使用中需求和设计测试用例
3、验证产品中展现数据的正确性、在项目过程中优化数据质量测试方案
4、对客户使用中发现的问题进行分析和统计，及时发送测试报告，便于产品负责人了解产品质量情况
5、协助用户调试代码,并完善一些样例代码
6、负责与客户沟通协调，协助客户使用公司产品
任职条件：
1、本科及以上学历 ，计算机相关专业
2、熟练掌握Python语言",https://jobs.51job.com/nanjing-jyq/120056575.html?s=01&t=0
Software QA Engineer,20-30万/年,['本科'],['3-4年经验'],['招1人'],菱湖大道,仙童半导体技术（上海）有限公司,外资（欧美）,50-150人,电子技术/半导体/集成电路,周末双休||带薪年假||五险一金||节日福利||专业培训,,,https://jobs.51job.com/wuxi-bhq/120939517.html?s=01&t=0
高级运维工程师,1-1.5万/月,['本科'],['3-4年经验'],无要求,雄州街道王桥路59号,南京梵鼎信息技术有限公司,民营公司,少于50人,计算机软件,五险一金||员工旅游||定期体检||精美下午茶||提供员工宿舍||节日福利||年终奖金,,,https://jobs.51job.com/nanjing-lhq/120200622.html?s=01&t=0
